date,rate
2019-01-02,-0.4
2019-01-03,-0.3784
2019-01-04,-0.3802
2019-01-07,-0.3605
2019-01-08,-0.3552
2019-01-09,-0.3949
2019-01-10,-0.3875
2019-01-11,-0.3851
2019-01-14,-0.3914
2019-01-15,-0.4069
2019-01-16,-0.4003
2019-01-17,-0.3798
2019-01-18,-0.3906
2019-01-21,-0.4195
2019-01-22,-0.4236
2019-01-23,-0.4289
2019-01-24,-0.3995
2019-01-25,-0.4182
2019-01-28,-0.4305
2019-01-29,-0.4603
2019-01-30,-0.4391
2019-01-31,-0.4373
2019-02-01,-0.476
2019-02-04,-0.4835
2019-02-05,-0.4534
2019-02-06,-0.4412
2019-02-07,-0.4661
2019-02-08,-0.5
2019-02-11,-0.4875
2019-02-12,-0.4905
2019-02-13,-0.469
2019-02-14,-0.4496
2019-02-15,-0.4315
2019-02-18,-0.4361
2019-02-19,-0.4169
2019-02-20,-0.4163
2019-02-21,-0.4034
2019-02-22,-0.4169
2019-02-25,-0.4272
2019-02-26,-0.4285
2019-02-27,-0.4018
2019-02-28,-0.4096
2019-03-01,-0.4817
2019-03-04,-0.4712
2019-03-05,-0.5089
2019-03-06,-0.5152
2019-03-07,-0.4467
2019-03-08,-0.455
2019-03-11,-0.4639
2019-03-12,-0.421
2019-03-13,-0.429
2019-03-14,-0.4125
2019-03-15,-0.4544
2019-03-18,-0.4554
2019-03-19,-0.4647
2019-03-20,-0.4455
2019-03-21,-0.4299
2019-03-22,-0.4187
2019-03-25,-0.4199
2019-03-26,-0.4272
2019-03-27,-0.4018
2019-03-28,-0.4092
2019-03-29,-0.402
2019-04-01,-0.4174
2019-04-02,-0.3925
2019-04-03,-0.3848
2019-04-04,-0.3933
2019-04-05,-0.3949
2019-04-08,-0.4185
2019-04-09,-0.3866
2019-04-10,-0.4394
2019-04-11,-0.4244
2019-04-12,-0.4167
2019-04-15,-0.4119
2019-04-16,-0.4179
2019-04-17,-0.4188
2019-04-18,-0.4198
2019-04-19,-0.4224
2019-04-22,-0.4172
2019-04-23,-0.4233
2019-04-24,-0.448
2019-04-25,-0.4603
2019-04-26,-0.4483
2019-04-29,-0.4482
2019-04-30,-0.4576
2019-05-01,-0.4423
2019-05-02,-0.4357
2019-05-03,-0.4382
2019-05-06,-0.4314
2019-05-07,-0.4446
2019-05-08,-0.4248
2019-05-09,-0.414
2019-05-10,-0.4255
2019-05-13,-0.4075
2019-05-14,-0.4169
2019-05-15,-0.4395
2019-05-16,-0.4513
2019-05-17,-0.4416
2019-05-20,-0.451
2019-05-21,-0.4474
2019-05-22,-0.4236
2019-05-23,-0.4288
2019-05-24,-0.436
2019-05-27,-0.4572
2019-05-28,-0.4716
2019-05-29,-0.4535
2019-05-30,-0.4883
2019-05-31,-0.4731
2019-06-03,-0.479
2019-06-04,-0.4896
2019-06-05,-0.5139
2019-06-06,-0.5226
2019-06-07,-0.4846
2019-06-10,-0.4579
2019-06-11,-0.4962
2019-06-12,-0.5098
2019-06-13,-0.4779
2019-06-14,-0.4788
2019-06-17,-0.5456
2019-06-18,-0.5469
2019-06-19,-0.5214
2019-06-20,-0.5166
2019-06-21,-0.5115
2019-06-24,-0.516
2019-06-25,-0.4993
2019-06-26,-0.4619
2019-06-27,-0.4606
2019-06-28,-0.4371
2019-07-01,-0.4324
2019-07-02,-0.4321
2019-07-03,-0.4283
2019-07-04,-0.4564
2019-07-05,-0.4341
2019-07-08,-0.4509
2019-07-09,-0.4307
2019-07-10,-0.448
2019-07-11,-0.429
2019-07-12,-0.4616
2019-07-15,-0.451
2019-07-16,-0.4384
2019-07-17,-0.4789
2019-07-18,-0.5024
2019-07-19,-0.4775
2019-07-22,-0.4429
2019-07-23,-0.4671
2019-07-24,-0.4471
2019-07-25,-0.4427
2019-07-26,-0.4322
2019-07-29,-0.413
2019-07-30,-0.4227
2019-07-31,-0.4385
2019-08-01,-0.4273
2019-08-02,-0.4389
2019-08-05,-0.3845
2019-08-06,-0.3951
2019-08-07,-0.4226
2019-08-08,-0.426
2019-08-09,-0.4446
2019-08-12,-0.419
2019-08-13,-0.4418
2019-08-14,-0.4454
2019-08-15,-0.4214
2019-08-16,-0.3956
2019-08-19,-0.4138
2019-08-20,-0.4604
2019-08-21,-0.4735
2019-08-22,-0.4606
2019-08-23,-0.4553
2019-08-26,-0.4567
2019-08-27,-0.4712
2019-08-28,-0.4954
2019-08-29,-0.4891
2019-08-30,-0.5178
2019-09-02,-0.5019
2019-09-03,-0.4905
2019-09-04,-0.448
2019-09-05,-0.4424
2019-09-06,-0.4624
2019-09-09,-0.4491
2019-09-10,-0.4532
2019-09-11,-0.4112
2019-09-12,-0.3993
2019-09-13,-0.4375
2019-09-16,-0.4646
2019-09-17,-0.4425
2019-09-18,-0.4433
2019-09-19,-0.4332
2019-09-20,-0.4024
2019-09-23,-0.404
2019-09-24,-0.3847
2019-09-25,-0.3745
2019-09-26,-0.3166
2019-09-27,-0.3358
2019-09-30,-0.3492
2019-10-01,-0.3484
2019-10-02,-0.3814
2019-10-03,-0.3834
2019-10-04,-0.3819
2019-10-07,-0.4639
2019-10-08,-0.4738
2019-10-09,-0.4483
2019-10-10,-0.4627
2019-10-11,-0.4524
2019-10-14,-0.4698
2019-10-15,-0.4425
2019-10-16,-0.4513
2019-10-17,-0.4535
2019-10-18,-0.4487
2019-10-21,-0.446
2019-10-22,-0.4167
2019-10-23,-0.4323
2019-10-24,-0.4222
2019-10-25,-0.4046
2019-10-28,-0.3875
2019-10-29,-0.3606
2019-10-30,-0.3494
2019-10-31,-0.3309
2019-11-01,-0.3316
2019-11-04,-0.3162
2019-11-05,-0.3325
2019-11-06,-0.3372
2019-11-07,-0.3576
2019-11-08,-0.3434
2019-11-11,-0.3528
2019-11-12,-0.3345
2019-11-13,-0.3418
2019-11-14,-0.366
2019-11-15,-0.3986
2019-11-18,-0.3835
2019-11-19,-0.4092
2019-11-20,-0.3975
2019-11-21,-0.41
2019-11-22,-0.4384
2019-11-25,-0.4861
2019-11-26,-0.4928
2019-11-27,-0.4716
2019-11-28,-0.4445
2019-11-29,-0.4789
2019-12-02,-0.4692
2019-12-03,-0.4349
2019-12-04,-0.4654
2019-12-05,-0.4612
2019-12-06,-0.4774
2019-12-09,-0.485
2019-12-10,-0.4727
2019-12-11,-0.4718
2019-12-12,-0.4757
2019-12-13,-0.4792
2019-12-16,-0.4804
2019-12-17,-0.4636
2019-12-18,-0.4463
2019-12-19,-0.447
2019-12-20,-0.4483
2019-12-23,-0.458
2019-12-24,-0.4354
2019-12-25,-0.4444
2019-12-26,-0.4481
2019-12-27,-0.4347
2019-12-30,-0.4341
2019-12-31,-0.4534
2020-01-01,-0.4626
