date,rate
2019-01-02,-0.331
2019-01-03,-0.324
2019-01-04,-0.325
2019-01-07,-0.32
2019-01-08,-0.315
2019-01-09,-0.315
2019-01-10,-0.322
2019-01-11,-0.322
2019-01-14,-0.319
2019-01-15,-0.326
2019-01-16,-0.331
2019-01-17,-0.325
2019-01-18,-0.327
2019-01-21,-0.333
2019-01-22,-0.341
2019-01-23,-0.344
2019-01-24,-0.342
2019-01-25,-0.343
2019-01-28,-0.347
2019-01-29,-0.354
2019-01-30,-0.354
2019-01-31,-0.352
2019-02-01,-0.364
2019-02-04,-0.373
2019-02-05,-0.369
2019-02-06,-0.37
2019-02-07,-0.372
2019-02-08,-0.374
2019-02-11,-0.378
2019-02-12,-0.38
2019-02-13,-0.376
2019-02-14,-0.367
2019-02-15,-0.362
2019-02-18,-0.36
2019-02-19,-0.35
2019-02-20,-0.254
2019-02-21,-0.251
2019-02-22,-0.252
2019-02-25,-0.26
2019-02-26,-0.268
2019-02-27,-0.269
2019-02-28,-0.274
2019-03-01,-0.298
2019-03-04,-0.31
2019-03-05,-0.333
2019-03-06,-0.345
2019-03-07,-0.344
2019-03-08,-0.138
2019-03-11,-0.152
2019-03-12,-0.156
2019-03-13,-0.161
2019-03-14,-0.163
2019-03-15,-0.176
2019-03-18,-0.192
2019-03-19,-0.209
2019-03-20,-0.217
2019-03-21,-0.222
2019-03-22,-0.221
2019-03-25,-0.229
2019-03-26,-0.224
2019-03-27,-0.219
2019-03-28,-0.224
2019-03-29,-0.229
2019-04-01,-0.233
2019-04-02,-0.237
2019-04-03,-0.229
2019-04-04,-0.234
2019-04-05,-0.237
2019-04-08,-0.238
2019-04-09,-0.235
2019-04-10,-0.255
2019-04-11,-0.26
2019-04-12,-0.273
2019-04-15,-0.278
2019-04-16,-0.276
2019-04-17,-0.284
2019-04-18,-0.282
2019-04-19,-0.287
2019-04-22,-0.292
2019-04-23,-0.292
2019-04-24,-0.3
2019-04-25,-0.316
2019-04-26,-0.324
2019-04-29,-0.331
2019-04-30,-0.338
2019-05-01,-0.342
2019-05-02,-0.339
2019-05-03,-0.335
2019-05-06,-0.333
2019-05-07,-0.335
2019-05-08,-0.329
2019-05-09,-0.322
2019-05-10,-0.321
2019-05-13,-0.317
2019-05-14,-0.318
2019-05-15,-0.318
2019-05-16,-0.32
2019-05-17,-0.325
2019-05-20,-0.334
2019-05-21,-0.336
2019-05-22,-0.326
2019-05-23,-0.323
2019-05-24,-0.326
2019-05-27,-0.331
2019-05-28,-0.345
2019-05-29,-0.345
2019-05-30,-0.353
2019-05-31,-0.358
2019-06-03,-0.356
2019-06-04,-0.366
2019-06-05,-0.374
2019-06-06,-0.382
2019-06-07,-0.387
2019-06-10,-0.375
2019-06-11,-0.375
2019-06-12,-0.379
2019-06-13,-0.374
2019-06-14,-0.377
2019-06-17,-0.401
2019-06-18,-0.41
2019-06-19,-0.416
2019-06-20,-0.414
2019-06-21,-0.417
2019-06-24,-0.421
2019-06-25,-0.42
2019-06-26,-0.407
2019-06-27,-0.39
2019-06-28,-0.373
2019-07-01,-0.367
2019-07-02,-0.365
2019-07-03,-0.352
2019-07-04,-0.354
2019-07-05,-0.348
2019-07-08,-0.345
2019-07-09,-0.34
2019-07-10,-0.339
2019-07-11,-0.337
2019-07-12,-0.344
2019-07-15,-0.346
2019-07-16,-0.347
2019-07-17,-0.354
2019-07-18,-0.367
2019-07-19,-0.375
2019-07-22,-0.369
2019-07-23,-0.367
2019-07-24,-0.366
2019-07-25,-0.357
2019-07-26,-0.348
2019-07-29,-0.34
2019-07-30,-0.339
2019-07-31,-0.34
2019-08-01,-0.334
2019-08-02,-0.338
2019-08-05,-0.328
2019-08-06,-0.327
2019-08-07,-0.324
2019-08-08,-0.326
2019-08-09,-0.325
2019-08-12,-0.325
2019-08-13,-0.328
2019-08-14,-0.328
2019-08-15,-0.322
2019-08-16,-0.311
2019-08-19,-0.307
2019-08-20,-0.32
2019-08-21,-0.33
2019-08-22,-0.339
2019-08-23,-0.342
2019-08-26,-0.341
