date,true_premium_bp
2019-01-02,7.0
2019-01-03,7.05
2019-01-04,6.91
2019-01-07,6.47
2019-01-08,6.17
2019-01-09,6.43
2019-01-10,6.02
2019-01-11,6.19
2019-01-14,6.53
2019-01-15,6.43
2019-01-16,6.17
2019-01-17,6.53
2019-01-18,6.25
2019-01-21,6.44
2019-01-22,6.4
2019-01-23,6.63
2019-01-24,6.73
2019-01-25,6.65
2019-01-28,6.94
2019-01-29,7.1
2019-01-30,7.92
2019-01-31,7.94
2019-02-01,8.01
2019-02-04,8.01
2019-02-05,8.25
2019-02-06,7.96
2019-02-07,8.64
2019-02-08,9.1
2019-02-11,9.64
2019-02-12,9.88
2019-02-13,9.83
2019-02-14,9.98
2019-02-15,9.76
2019-02-18,9.54
2019-02-19,9.43
2019-02-20,18.39
2019-02-21,17.68
2019-02-22,17.31
2019-02-25,16.55
2019-02-26,15.91
2019-02-27,15.11
2019-02-28,14.24
2019-03-01,13.58
2019-03-04,13.07
2019-03-05,12.82
2019-03-06,12.63
2019-03-07,12.41
2019-03-08,32.55
2019-03-11,31.04
2019-03-12,29.92
2019-03-13,28.68
2019-03-14,27.53
2019-03-15,26.67
2019-03-18,25.47
2019-03-19,24.05
2019-03-20,22.96
2019-03-21,22.35
2019-03-22,21.53
2019-03-25,20.78
2019-03-26,20.5
2019-03-27,20.38
2019-03-28,19.39
2019-03-29,18.91
2019-04-01,18.33
2019-04-02,17.35
2019-04-03,17.37
2019-04-04,16.73
2019-04-05,16.14
2019-04-08,16.44
2019-04-09,16.42
2019-04-10,15.34
2019-04-11,15.16
2019-04-12,14.29
2019-04-15,13.7
2019-04-16,13.77
2019-04-17,13.34
2019-04-18,13.45
2019-04-19,13.01
2019-04-22,12.75
2019-04-23,12.68
2019-04-24,12.45
2019-04-25,12.01
2019-04-26,11.34
2019-04-29,10.95
2019-04-30,10.54
2019-05-01,10.53
2019-05-02,10.62
2019-05-03,10.69
2019-05-06,10.48
2019-05-07,10.44
2019-05-08,10.67
2019-05-09,10.94
2019-05-10,11.02
2019-05-13,10.82
2019-05-14,10.5
2019-05-15,10.73
2019-05-16,10.88
2019-05-17,10.97
2019-05-20,10.67
2019-05-21,10.66
2019-05-22,11.0
2019-05-23,11.29
2019-05-24,10.91
2019-05-27,10.85
2019-05-28,10.41
2019-05-29,10.54
2019-05-30,10.59
2019-05-31,10.6
2019-06-03,10.89
2019-06-04,10.8
2019-06-05,10.93
2019-06-06,11.0
2019-06-07,10.59
2019-06-10,10.89
2019-06-11,11.22
2019-06-12,11.41
2019-06-13,11.22
2019-06-14,10.78
2019-06-17,10.09
2019-06-18,10.09
2019-06-19,9.89
2019-06-20,10.14
2019-06-21,9.67
2019-06-24,9.37
2019-06-25,9.09
2019-06-26,9.15
2019-06-27,9.93
2019-06-28,10.0
2019-07-01,9.92
2019-07-02,9.45
