economist,institution,indicator,period,forecast
Stephen Stanley,Santander US Capital Markets,cpi_yoy_dec,2015,0.2
Michael Feroli,J.P. Morgan,cpi_yoy_dec,2015,0.9
Jan Hatzius,Goldman Sachs,cpi_yoy_dec,2015,0.8
Ellen Zentner,Morgan Stanley,cpi_yoy_dec,2015,0.1
Mark Zandi,Moody's Analytics,cpi_yoy_dec,2015,0.3
Diane Swonk,KPMG,cpi_yoy_dec,2015,0.2
Gregory Daco,EY-Parthenon,cpi_yoy_dec,2015,-0.2
Torsten Slok,Apollo Global Management,cpi_yoy_dec,2015,0.5
James Knightley,ING,cpi_yoy_dec,2015,-0.4
Nathan Sheets,Citi,cpi_yoy_dec,2015,0.3
Stephen Stanley,Santander US Capital Markets,cpi_yoy_dec,2016,2.0
Michael Feroli,J.P. Morgan,cpi_yoy_dec,2016,1.9
Jan Hatzius,Goldman Sachs,cpi_yoy_dec,2016,2.4
Ellen Zentner,Morgan Stanley,cpi_yoy_dec,2016,2.0
Mark Zandi,Moody's Analytics,cpi_yoy_dec,2016,1.7
Diane Swonk,KPMG,cpi_yoy_dec,2016,1.4
Gregory Daco,EY-Parthenon,cpi_yoy_dec,2016,2.0
Torsten Slok,Apollo Global Management,cpi_yoy_dec,2016,1.8
James Knightley,ING,cpi_yoy_dec,2016,2.6
Nathan Sheets,Citi,cpi_yoy_dec,2016,1.7
Stephen Stanley,Santander US Capital Markets,cpi_yoy_dec,2017,2.0
Michael Feroli,J.P. Morgan,cpi_yoy_dec,2017,1.4
Jan Hatzius,Goldman Sachs,cpi_yoy_dec,2017,1.9
Ellen Zentner,Morgan Stanley,cpi_yoy_dec,2017,1.3
Mark Zandi,Moody's Analytics,cpi_yoy_dec,2017,1.9
Diane Swonk,KPMG,cpi_yoy_dec,2017,1.6
Gregory Daco,EY-Parthenon,cpi_yoy_dec,2017,1.7
Torsten Slok,Apollo Global Management,cpi_yoy_dec,2017,1.9
James Knightley,ING,cpi_yoy_dec,2017,1.6
Nathan Sheets,Citi,cpi_yoy_dec,2017,2.9
Stephen Stanley,Santander US Capital Markets,cpi_yoy_dec,2018,2.0
Michael Feroli,J.P. Morgan,cpi_yoy_dec,2018,2.3
Jan Hatzius,Goldman Sachs,cpi_yoy_dec,2018,1.7
Ellen Zentner,Morgan Stanley,cpi_yoy_dec,2018,1.5
