release_date,period,actual,prior,revised,include
2018-02-02,Jan-18,200,148,151,Y
2018-03-09,Feb-18,313,200,137,Y
2018-04-06,Mar-18,103,313,394,Y
2018-05-04,Apr-18,164,103,226,Y
2018-06-01,May-18,223,164,140,Y
2018-07-06,Jun-18,213,223,322,Y
2018-08-03,Jul-18,157,213,218,Y
2018-09-07,Aug-18,201,157,60,Y
2018-10-05,Sep-18,134,201,257,Y
2018-11-02,Oct-18,250,134,81,Y
2018-12-07,Nov-18,155,250,169,Y
2019-01-04,Dec-18,312,155,90,Y
2019-02-01,Jan-19,304,312,192,Y
2019-03-08,Feb-19,20,304,251,Y
2019-04-05,Mar-19,196,20,7,Y
2019-05-03,Apr-19,263,196,228,Y
2019-06-07,May-19,75,263,296,Y
2019-07-05,Jun-19,224,75,27,Y
2019-08-02,Jul-19,164,224,220,Y
2019-09-06,Aug-19,130,164,99,Y
2019-10-04,Sep-19,136,130,232,Y
2019-11-01,Oct-19,128,136,196,Y
2019-12-06,Nov-19,266,128,95,Y
2020-01-10,Dec-19,145,266,207,Y
2020-02-07,Jan-20,225,145,127,Y
2020-03-06,Feb-20,273,225,237,Y
2020-04-03,Mar-20,-701,273,262,N
2020-05-08,Apr-20,-20537,-701,-1398,N
2020-06-05,May-20,2509,-20537,-20469,N
2020-07-02,Jun-20,4800,2509,2614,N
2020-08-07,Jul-20,1763,4800,4631,N
2020-09-04,Aug-20,1371,1763,1584,N
2020-10-02,Sep-20,661,1371,1566,N
2020-11-06,Oct-20,638,661,949,N
2020-12-04,Nov-20,245,638,690,N
2021-01-08,Dec-20,-140,245,273,N
2021-02-05,Jan-21,49,-140,-185,Y
2021-03-05,Feb-21,379,49,315,Y
2021-04-02,Mar-21,916,379,517,Y
2021-05-07,Apr-21,266,916,852,Y
2021-06-04,May-21,559,266,355,Y
2021-07-02,Jun-21,850,559,478,Y
2021-08-06,Jul-21,943,850,755,Y
2021-09-03,Aug-21,235,943,942,Y
2021-10-08,Sep-21,194,235,552,Y
2021-11-05,Oct-21,531,194,457,Y
2021-12-03,Nov-21,210,531,801,Y
2022-01-07,Dec-21,199,210,658,Y
2022-02-04,Jan-22,467,199,586,Y
2022-03-04,Feb-22,678,467,190,Y
2022-04-01,Mar-22,431,678,819,Y
2022-05-06,Apr-22,428,431,490,Y
2022-06-03,May-22,390,428,308,Y
2022-07-08,Jun-22,372,390,301,Y
2022-08-05,Jul-22,528,372,434,Y
2022-09-02,Aug-22,315,528,714,Y
2022-10-07,Sep-22,263,315,290,Y
2022-11-04,Oct-22,261,263,220,Y
2022-12-02,Nov-22,263,261,357,Y
2023-01-06,Dec-22,223,263,303,Y
2023-02-03,Jan-23,517,223,100,Y
2023-03-10,Feb-23,311,517,434,Y
2023-04-07,Mar-23,236,311,290,Y
2023-05-05,Apr-23,253,236,68,Y
2023-06-02,May-23,339,253,241,Y
2023-07-07,Jun-23,209,339,280,Y
2023-08-04,Jul-23,187,209,225,Y
2023-09-01,Aug-23,187,187,163,Y
2023-10-06,Sep-23,336,187,218,Y
2023-11-03,Oct-23,150,336,156,Y
2023-12-08,Nov-23,199,150,159,Y
2024-01-05,Dec-23,216,199,127,Y
2024-02-02,Jan-24,353,216,154,Y
2024-03-08,Feb-24,275,353,175,Y
2024-04-05,Mar-24,303,275,206,Y
2024-05-03,Apr-24,175,303,228,Y
2024-06-07,May-24,272,175,64,Y
2024-07-05,Jun-24,206,272,78,Y
2024-08-02,Jul-24,114,206,87,Y
2024-09-06,Aug-24,142,114,53,Y
2024-10-04,Sep-24,254,142,9,Y
2024-11-01,Oct-24,12,254,155,Y
2024-12-06,Nov-24,227,12,33,Y
2025-01-10,Dec-24,256,227,134,Y
2025-02-07,Jan-25,143,256,237,Y
2025-03-07,Feb-25,151,143,-48,Y
2025-04-04,Mar-25,228,151,42,Y
2025-05-02,Apr-25,177,228,67,Y
2025-06-06,May-25,139,177,108,Y
2025-07-03,Jun-25,147,139,13,Y
2025-08-01,Jul-25,73,147,-20,Y
2025-09-05,Aug-25,22,73,64,Y
2025-11-20,Sep-25,119,22,-70,Y
2025-12-16,Nov-25,64,-105,-140,Y
2025-12-16,Oct-25,-105,108,76,Y
2026-01-09,Dec-25,50,64,41,Y
2026-02-11,Jan-26,130,50,-17,Y
2026-03-06,Feb-26,-92,130,160,Y
2026-04-03,Mar-26,178,-92,-156,Y
2026-05-08,Apr-26,115,178,214,Y
2026-06-05,May-26,172,115,148,Y
2026-07-02,Jun-26,57,172,129,Y
